店名,料理,場所,総合評価,味評価,コスパ,備考
ホアンヨン,餃子,蒲田,B,C,A,
おはこ,そばとせせり,熊本,A,A,B,
エチオピア,カレー,御茶ノ水,C,C,A,
神田まつや 本店,そば,御茶ノ水,B,C,B,
恵比須,焼肉,御茶ノ水,A,B,B,ランチなら安い
やすべえ,つけめん,高田馬場,A,A,A,
あひーじょバル＆ごはん 山ぶどう,アヒージョ,根津・千駄木,D,D,D,
江戸名代亜門 根津総本店,うなぎ,根津・千駄木,C,D,C,
ひみつ堂,かき氷,根津・千駄木,C,B,D,
炎のわら焼き 巡りや 根津店,カツオのたたき,根津・千駄木,C,B,C,
セレネー,ケーキ,根津・千駄木,C,C,C,
根津 一朶そば,そば,根津・千駄木,B,C,B,
BINGO TACOS KITCHEN,タコス,根津・千駄木,C,B,C,
チャングラ,ネパール料理,根津・千駄木,B,C,B,
Ciao centro,パスタ,根津・千駄木,B,C,B,
スピガ 根津店,パスタ,根津・千駄木,C,D,A,
根津のパン,パン,根津・千駄木,B,C,B,
STRAND BURGERS,ハンバーガー,根津・千駄木,C,C,C,
ダウンタウン・ビーズ根津,ビリヤニ,根津・千駄木,B,C,A,
ブラッスリーリーヌ,フランス料理,根津・千駄木,C,D,C,
しのぶ,らーめん,根津・千駄木,A,B,B,
末廣,らーめん,根津・千駄木,B,B,B,
旬彩 織楽 SHIKIRAKU,懐石料理,根津・千駄木,A,A,B,
串猿,串かつ,根津・千駄木,C,B,A,
炭聖,焼肉,根津・千駄木,A,B,C,
うしくろ,焼肉,根津・千駄木,B,B,C,
海上海,中華,根津・千駄木,B,C,A,
おとめ,中華,根津・千駄木,B,C,B,
蓬莱春飯店,中華,根津・千駄木,C,D,A,
ごはんがススム食堂 〜Trattoria di WATARI-NO〜,定食屋,根津・千駄木,C,C,A,
やすべえ,つけめん,秋葉原,A,A,A,
デリー,カレー,上野,B,C,B,
ホーシェング,キノコ鍋,上野,B,B,C,
カフェコムサ,ケーキ,上野,B,C,C,
TIES,ケーキ,上野,B,C,C,
タカノフルーツパーラー,ケーキ,上野,B,B,B,
温野菜,しゃぶしゃぶ,上野,B,C,A,
アレグリア上野,シュラスコ,上野,B,C,B,
ラム肉専門店 小仔羊 上野御徒町,ジンギスカン,上野,C,C,C,
肉の大山,ステーキ,上野,A,C,A,
モンスターグリル,ステーキ,上野,B,C,B,時間帯限定で安い
まぁちゃん,ホルモン,上野,C,C,A,
もへじ,もんじゃ,上野,C,C,C,
鴨と葱,らーめん,上野,B,C,B,めっちゃ並ぶ
麺屋武蔵 武骨相傳,らーめん,上野,B,C,B,
ながおか屋,ラム肉,上野,A,B,A,
鳥貴族,焼き鳥,上野,A,C,A,
神保町食肉センター,焼肉,上野,A,C,A,
焼肉たむら,焼肉,上野,A,B,A,
中国料理喜羊門,中華,上野,B,C,B,
おぼんでごはん,定食屋,上野,B,C,B,
ステーキダイニング鷹 上野店,鉄板料理,上野,A,C,A,
鉄板焼 grow 上野店,鉄板料理,上野,C,D,C,
三代目 圭,鉄板料理,上野,C,D,C,
天寿々（てんすず）,天ぷら,上野,C,C,D,
魚草,立ち飲み海鮮,上野,A,B,C,
番屋横丁,炉端焼き、寿司,上野,,,,
焼ジビエ罠 川崎 美俊,ジビエ,川崎,C,B,C,
やまじん,ジンギスカン,川崎,A,B,B,
芝浦食肉店,ホルモン,川崎,A,B,A,
やよい軒,定食屋,川崎,B,C,A,
須田,日本料理,川崎,A,B,B,
鰻三代目むら上 大森山王店,うなぎ,大森,A,B,B,
しゃぶ葉,しゃぶしゃぶ,大森,A,C,A,
フロ プレステージュ 大森とうきゅう店,タルト,大森,B,B,B,
リンガーハット,ちゃんぽん,大森,B,D,B,
タパスタパス,パスタ,大森,A,B,B,
芝浦食肉店,ホルモン,大森,A,B,A,
中納言 大森ベルポート店,伊勢海老,大森,D,C,D,
うお米,回転寿司,大森,B,C,A,
いっ歩,焼肉,大森,C,C,C,
ニイハオ,中華,大森,A,C,A,
銀座アスター,中華,大森,C,B,D,
鉄板Diner JAKEN 池袋本店,鉄板料理,池袋,A,C,A,
スシロー,寿司,町屋,A,C,A,
ピッツェリア カロッツェ,ピザ,湯島,A,A,B,
グランド・セントラル・オイスター・バー＆レストラン 品川店,牡蠣,品川,C,C,C,
DINING ＆ BAR TABLE 9 TOKYO,洋食,品川,C,C,D,品川プリンスホテル
とりとん,回転ずし,北海道,,,,
,ウニいくら丼,北海道知床,,,,
,居酒屋,北海道知床,,,,
魚菜 孝（たか）,居酒屋,町屋,B,A,A,ワンオペなので料理が出るのに時間がかかる
